1 0.70321 0.207521 0.0882468
2 0.339306 0.425136 0.178629
3 0.454772 0.304732 0.126848
4 0.381535 0.36935 0.158367
5 0.426093 0.309767 0.131819
6 0.713245 0.162216 0.0687964
7 0.708703 0.143295 0.0618043
8 3.28976 0.0258075 0.0110822
9 3.13842 0.023912 0.0102486
1 0.308407 0.491249 0.212941
2 0.331463 0.458389 0.201257
3 0.28834 0.548677 0.24176
4 0.280671 0.528053 0.227439
5 0.258672 0.568533 0.246572
6 0.251282 0.523629 0.225401
7 0.225865 0.509451 0.220452
8 0.211859 0.45444 0.196395
9 0.19491 0.42311 0.18487
