1 0.352532 0.454129 0.19231
2 0.305333 0.549238 0.238254
3 0.35795 0.430784 0.183896
4 0.28787 0.537047 0.231715
5 0.334708 0.430145 0.18497
6 0.239733 0.569374 0.245181
7 0.232562 0.507406 0.21984
8 0.198793 0.494842 0.214658
9 0.195856 0.437069 0.190589
1 0.299387 0.56281 0.244865
2 0.30013 0.517398 0.222623
3 0.291889 0.568214 0.246624
4 0.284948 0.547918 0.236029
5 0.268754 0.550416 0.237537
6 0.251674 0.535872 0.22934
7 0.226716 0.520819 0.226199
8 0.20335 0.500404 0.217701
9 0.176003 0.509821 0.221897
